type,blockNumber,delegator,eventTime,id,indexer,logIndex,shares,tokens,until
stakeDelegatedLockeds,11474551,0x9327775e225a703125167eb423d246915bdc37e7,1608259750,0xa352109c91b2cc95255407a502b69ad0c33ff9a2ed06e6cc66ac20b68d507b0e-260,0x7ab4cf25330ed7277ac7ab59380b68eea68abb0e,260,100000000000000000000,100000000000000000000,32
stakeDelegatedLockeds,11474621,0x57b4a5f470c85d4281f7baf5162b59243a3491df,1608260777,0x18cb0cf3c94ed5aee7c925b9691535fb78e0419d54e37de9c092a44e75f7bd30-67,0x7ab4cf25330ed7277ac7ab59380b68eea68abb0e,67,65257075000000000000000,65257075000000000000000,32
stakeDelegatedLockeds,11474788,0x219688c6156edea2e2ca7e2036c1c5b7f6451169,1608262912,0xa36ab26a4663a93a13993fc6d4039824025594592765974efed902b91eb87b3c-44,0x8e297141f9dc76f4d71741da1a1e47294cf0fde2,44,101129325058601450000000,101129325058601450000000,32
stakeDelegatedLockeds,11474886,0x1853bf6a892abd949aed052bb634ab96afaf31dd,1608264240,0x14b0c8979f1f246960a4145a594db37a7a440082451eaf53b0075b9af9320bb0-111,0x7ab4cf25330ed7277ac7ab59380b68eea68abb0e,111,14169714085664846000000,14169714085664846000000,32
stakeDelegatedLockeds,11475210,0xf5376e847efa1ea889bfcb03706f414dade0e82c,1608268926,0x77ee16992ad41f4f9aab385015bf8c035bb2d1eec5a6ff7f79e3689126a4cab9-128,0x7ab4cf25330ed7277ac7ab59380b68eea68abb0e,128,12488567623993900000000,12488567623993900000000,32
stakeDelegatedLockeds,11475216,0xf5376e847efa1ea889bfcb03706f414dade0e82c,1608268986,0x9623dae90e46e2bc27a36f9f892aa70d6d2021607781418013f127b44dcff7ea-306,0x45874192929530cd4e3dd0624df05bee3c13974f,306,12935000000000000000000,12935000000000000000000,32
stakeDelegatedLockeds,11477084,0xaca25dd25fdfdd7e3f85ddb8d4f36d690b1ba637,1608293129,0xe44849fb051498131b985ebeff74d7404e123eb5081ff2789f3fdb33d97732e0-138,0x4167eb613d784c910f5dc0f3f0515d61ec6ec8df,138,165851137200000000000000,165851137200000000000000,32
stakeDelegatedLockeds,11477428,0x13c0dabeb938c21524c59cdc40bcb6fdb3618754,1608297555,0x93437ccc6ac4f7237e6b9c01d7652af4300261f785879a71e19a601664005136-259,0x7ab4cf25330ed7277ac7ab59380b68eea68abb0e,259,132706115100000000000000,132706115100000000000000,32
stakeDelegatedLockeds,11478035,0x60696f9d6ab5d99560bd04a98c718731735edd5c,1608305964,0xfd074e8acc76778d8bad5884029821336c1c3804a7c2efd1a56c162542c0db34-224,0x7ab4cf25330ed7277ac7ab59380b68eea68abb0e,224,10185289624385739620000,10185289624385739620000,32
stakeDelegatedLockeds,11478195,0xe88f42474046183f2367066cd940e74ded8085fe,1608308131,0x292aada0e00ced3e2e18228f411526790837d9209ddf545a13b59e9459fb6431-172,0x9238584c74e5fa445a8f72a4d4ef4699dd783852,172,2000000000000000000000,2000000000000000000000,32
stakeDelegatedLockeds,11478205,0xcff76a3c6904456e71c40398b09bc70d3926fa6b,1608308246,0x69987273f8cb0dc3d7d7c1d49ee2b53d67b886a826363674b51ab6641abc303e-253,0x7ab4cf25330ed7277ac7ab59380b68eea68abb0e,253,895500000000000000000,895500000000000000000,32
stakeDelegatedLockeds,11478379,0x2b49ce21ad2004cfb3d0b51b2e8ec0406d632513,1608310568,0x34005f821b461faa35768bc3ebbc2df9877337fefb7ee5653891db55067f4ccb-154,0x45874192929530cd4e3dd0624df05bee3c13974f,154,9950000000000000000000,9950000000000000000000,32
