allocationID,blockNumber,epoch,id,indexer,logIndex,subgraphDeploymentID,tokens,type,isDelegator,sender,curationFees,from,rebateFees,delegator,shares,eventTime,until,indexingRewardCut,queryFeeCut,delegationFees,amount,signer,signal,subgraphDeployment
,11474009,,0xcb621a8a549e4e3c616a7a1e27dc92b28722c90ac37f60fe1f1d5e5ed1ff0ecf-121,0x7ab4cf25330ed7277ac7ab59380b68eea68abb0e,121.0,,,delegationParametersUpdateds,,,,,,,,,,1000000.0,1000000.0,,,,,
,11474009,,0xcb621a8a549e4e3c616a7a1e27dc92b28722c90ac37f60fe1f1d5e5ed1ff0ecf-122,0x7ab4cf25330ed7277ac7ab59380b68eea68abb0e,122.0,,9615385000000000000000000,stakeDepositeds,,,,,,,,,,,,,,,,
,11474307,,0x938641c2dbfd4562c7ab8c60ca98f11394d161ead6b93008a91d97f068c6dcac-17,0x7ab4cf25330ed7277ac7ab59380b68eea68abb0e,17.0,,165851137200000000000000,stakeDelegateds,,,,,,0x9fe0a203e190d87cef6b4b80b24fae73f243b3ea,165851137200000000000000,,,,,,,,,
,11474332,,0x67278b0af539dff48945b3a430ada90de00526aed433a321215f3d1e36bcc97e-38,0x7ab4cf25330ed7277ac7ab59380b68eea68abb0e,38.0,,251819644650000000000000,stakeDelegateds,,,,,,0xd776a7306ee6a060cebb46b46d305e88fd39ba84,251819644650000000000000,,,,,,,,,
,11474426,,0x19cf8bd30df43cc8518c16bfce7297c32495bbc3c4c1da83ef91f75cb678b8a0-162,0x7ab4cf25330ed7277ac7ab59380b68eea68abb0e,162.0,,,delegationParametersUpdateds,,,,,,,,,,90000.0,80000.0,,,,,
,11474474,,0x2fe9986fb33a19533e14dc68a42672fb1723fe137c8e6e520f8e4c150e196421-272,0x7ab4cf25330ed7277ac7ab59380b68eea68abb0e,272.0,,,delegationParametersUpdateds,,,,,,,,,,80000.0,100000.0,,,,,
,11474496,,0x1959bd2f0db2f95a3608e12c87c16122d2a822a1ddd309c2779bc90a321be401-84,0x7ab4cf25330ed7277ac7ab59380b68eea68abb0e,84.0,,6965000000000000000000,stakeDelegateds,,,,,,0x53c0fa070e310ce1690b3c83b2ab7f20d74d4922,6965000000000000000000,,,,,,,,,
,11474499,,0x9e1054a42c5a3159474cccc230a2d3838d535165657739089159fc5a29271ebb-190,0x7ab4cf25330ed7277ac7ab59380b68eea68abb0e,190.0,,9950000000000000000000,stakeDelegateds,,,,,,0x9327775e225a703125167eb423d246915bdc37e7,9950000000000000000000,,,,,,,,,
,11474504,,0x1d7bf818ed90521f8c3617ba98a631a05d60f5f95d805ed88f39f9b64e56accc-181,0x7ab4cf25330ed7277ac7ab59380b68eea68abb0e,181.0,,1991758662500000000000,stakeDelegateds,,,,,,0x32345932bc863f54ef87e2ece3d458f1789b1bfc,1991758662500000000000,,,,,,,,,
,11474551,,0xa352109c91b2cc95255407a502b69ad0c33ff9a2ed06e6cc66ac20b68d507b0e-260,0x7ab4cf25330ed7277ac7ab59380b68eea68abb0e,260.0,,100000000000000000000,stakeDelegatedLockeds,,,,,,0x9327775e225a703125167eb423d246915bdc37e7,100000000000000000000,1608259750.0,32.0,,,,,,,
,11474568,,0xaa968b7c22677764fbd8a8fd538d99e34829857329139876725ca7f589c57339-285,0x7ab4cf25330ed7277ac7ab59380b68eea68abb0e,285.0,,503905083650000000000,stakeDelegateds,,,,,,0xb300749c08cab1c9ce67f66a18ea5926360ba36a,503905083650000000000,,,,,,,,,
,11474607,,0x5bbc9115362bb523298d2378cf8e5238c947f314915d215f3c28717b48a5bb02-5,0x7ab4cf25330ed7277ac7ab59380b68eea68abb0e,5.0,,65257075000000000000000,stakeDelegateds,,,,,,0x57b4a5f470c85d4281f7baf5162b59243a3491df,65257075000000000000000,,,,,,,,,
